细分行业,平均市盈率,平均价格,总资产加权市盈率,总资产加权平均价格,流通市值加权市盈率,流通市值加权平均价格
专用机械,133.29267857142855,24.790714285714284,140.68736665860405,16.295396671989767,333.71615033866436,23.192580298463774
中成药,163.44909090909093,22.401636363636364,61.66913834100253,23.344971694495023,86.51499855298484,29.17406138559737
乳制品,53.892857142857146,18.245714285714286,37.45992417370845,15.377747234174846,28.86749477917258,15.896949406494787
互联网,133.21214285714285,45.56928571428572,74.3516420233344,35.13720156537259,99.67988470292092,32.956777811833604
仓储物流,120.1275,19.436666666666667,39.62605071170171,30.276402876261105,61.46699949183079,14.981079936555846
供气供热,46.745000000000005,9.709999999999999,28.44189881415055,10.5011858785223,29.256279279812844,9.083817998756254
元器件,166.57486842105263,18.59631578947368,60.17123633334306,14.202349625059258,84.1927405517809,17.416394339052015
全国地产,56.2725,9.500714285714285,27.885894919965793,10.633700484195561,34.552036394508214,10.4921785569707
公共交通,46.424285714285716,11.848571428571429,42.22152955940758,11.326831337810782,49.4642619300106,12.334049416755038
公路,34.582499999999996,12.4675,34.77980776471897,11.12448239484672,33.84071994088461,12.615428058693126
其他商业,256.0775,9.0825,110.26212838533523,9.168583750035136,116.07348512871783,9.399234191452138
其他建材,121.801,13.134,112.88857313018428,12.029543874935596,114.73295716701581,12.745622554834801
农业综合,280.10714285714283,14.14857142857143,382.10168290565764,13.512712855745661,273.5308496201293,16.050917474054216
农用机械,68.52,9.911666666666667,45.679041584569255,9.553463337084994,81.30891504761904,10.236134476190477
农药化肥,137.91032258064516,13.770967741935484,81.46960029884973,11.587756008886883,72.08954394187953,14.072812384449133
出版业,104.34250000000002,20.334166666666665,41.40192497970219,16.54472954944849,50.01339280873699,18.10849138891734
化学制药,152.37045454545452,24.382499999999997,117.7198308036137,18.572437150787213,93.28588323286499,24.235227539046445
化工原料,86.68342105263159,16.429473684210528,64.37174314865948,14.808707489643647,63.9747469934253,16.915512512146183
化工机械,232.40125,14.87,325.31838786183187,12.302517483550838,159.4120635812177,14.489973039766344
化纤,187.2595238095238,9.474761904761905,51.798143133848825,12.185061205556567,139.95607245968012,10.239484386407378
区域地产,83.12051282051281,9.781025641025641,37.117464363411536,11.948253025535147,62.77095014223412,12.554342161498905
医疗保健,81.7472,23.2008,62.964357356981594,23.114193557231257,68.26719302177624,26.241991382052692
医药商业,54.58142857142857,27.520000000000003,33.532704756829865,24.63672498183735,36.10828786536202,32.87922757866557
半导体,199.71323529411765,13.095882352941176,124.78009066568576,12.128822238438035,128.32575373318807,13.484812173260213
商品城,43.04,9.24,65.78495814053817,8.849659245325368,68.38290034319755,9.13137003820501
商贸代理,42.69,14.479285714285714,25.41931497973169,11.962516217674427,33.996188426414584,16.013063558349778
啤酒,57.957499999999996,13.3475,30.890506207113294,20.36205291981562,36.82157667033392,18.04043650203681
园区开发,82.143,16.641,64.53673777257507,24.156077490281977,56.29974268820869,25.923324371015624
塑料,100.43652173913043,15.321739130434782,95.79713929695318,10.970892682085132,104.09869240701667,11.541211224136301
多元金融,28.113333333333333,10.013333333333334,19.43283523322794,11.084475728652615,20.248882671707623,12.044753371140514
家居用品,51.07083333333333,21.594166666666666,43.79995110607616,18.06062523602385,43.11983722503536,19.99692490620964
家用电器,29.40291666666667,14.92,12.852759106851215,15.924445421703618,15.433574517180835,16.522932631050914
小金属,582.57,12.105714285714285,568.4529017028677,11.589087505531863,868.2165603721846,11.985455756847518
工程机械,244.23545454545456,11.114545454545455,378.7172487454624,8.033090894857509,346.72898550487446,9.232498322449715
广告包装,131.84357142857144,19.072857142857142,118.27407735370123,14.570658117255173,143.0656596194209,16.95122263458571
建筑施工,73.25152173913044,12.365869565217393,20.271883821856495,10.297316294962886,27.44380723733886,10.820835985346346
影视音像,95.16823529411765,30.731764705882355,62.16992296767026,28.22062604243306,73.21526408944085,27.383956498866752
房产服务,257.43199999999996,17.656,25.72991065505683,12.911910841058912,143.22604841532703,13.323148881169722
批发业,30.956666666666667,11.063333333333333,32.08802084985318,11.273412863910044,30.805525488327778,11.232955693187234
摩托车,89.29666666666667,8.87,48.397031746662165,9.182770849824307,53.29757850437035,9.643286777967905
文教休闲,819.232,20.865000000000002,288.71845595869763,16.383997787910253,462.5504701809811,22.677131358281944
新型电力,111.38666666666666,12.023333333333333,36.561609934311825,9.01392742830114,43.589461680541795,9.618246647214713
旅游景点,64.10714285714286,11.5,30.85334537257185,8.802270860198407,43.44250636052392,11.663196595156577
旅游服务,185.68714285714285,25.618571428571425,79.99046017725618,36.32161497158981,104.5191893684036,39.63166712714815
日用化工,162.8875,21.845,99.34881918150099,24.475400574408344,81.29537583544422,28.316522415845217
普钢,757.0611111111111,6.441111111111111,217.205088702524,5.01235123683139,243.9015860232031,5.18547931007582
服饰,95.98,19.343421052631577,39.477117140238605,15.868342280888452,58.69512539156767,18.19694971030286
机场,19.18,16.4225,20.204582892945865,18.03765377606106,19.737058410469196,18.46462496010214
机床制造,187.37,12.186666666666667,134.19037112984512,12.255634514711979,130.9284715228824,12.923304240796687
机械基件,147.8178947368421,16.287894736842105,114.38411961239733,11.216558541651759,144.41816057444152,11.9871042025631
林业,916.0066666666665,13.413333333333334,822.7017109733534,13.314161121002478,473.08559197651664,12.968514816885657
染料涂料,253.891,15.665000000000001,81.18049910608747,12.626108629168465,122.35961557472453,12.64900856227179
橡胶,41.427499999999995,17.025,39.477104554267555,15.869886558524358,36.145998402555904,13.892362619808306
水力发电,522.5216666666666,10.7125,156.58877118581285,11.75249277169969,373.1292838298694,11.43899041245737
水务,57.60363636363636,11.376363636363637,37.58691257316927,10.344044527190826,40.98408695320618,9.649067936362684
水泥,142.34764705882353,10.505882352941176,44.87642768930916,11.081483471611953,55.47118539270448,12.82104798529062
水运,102.9225,8.7575,56.36639783417042,7.236707906936859,47.35597156865161,7.4652989726280525
汽车整车,70.425,15.334444444444443,31.089695324310796,19.433176118308992,28.672821444189598,18.92308047372132
汽车服务,223.87666666666667,9.726666666666667,274.36596613723475,5.064346475203068,216.78241786492373,7.081375381263616
汽车配件,67.45333333333333,16.28253968253968,46.104180061407355,13.500220330096946,54.381623469823175,15.18628487750273
渔业,104.19833333333334,9.106666666666667,83.87683096777972,8.550278234844647,101.23775626423689,8.529895324872546
港口,39.822307692307696,7.582307692307693,33.046536293460086,7.529481715773301,32.37023255736103,7.173225105616595
火力发电,28.063333333333333,9.14939393939394,16.34016399957367,7.749207699579692,17.822565078602807,8.331558143476602
焦炭加工,62.629999999999995,10.73,66.26611465315077,10.419599968633474,48.31693129770992,11.951847328244273
煤炭开采,194.28333333333333,7.33,108.28869175297285,11.51390459177571,86.5426506726111,12.428254411423906
特钢,68.928,15.724,148.37479796110085,6.718349714513704,113.12790688172461,10.010306632682841
环境保护,83.23055555555555,19.866666666666667,68.52174174792239,17.95782914180292,75.21120201813595,22.91464065899329
玻璃,274.7938461538461,18.11846153846154,117.52333885392244,15.62587932921788,286.3060311386179,16.858097145856938
生物制药,111.23535714285713,28.793928571428573,75.50172228908083,31.194745653437206,73.1178893382479,41.86569272228977
电信运营,76.8,17.526,30.23309981720025,6.913910168408059,40.34756444995365,12.18929037181976
电器仪表,107.085,22.262105263157896,74.05699000030992,19.687013203622985,75.28159455007426,22.419762871169873
电器连锁,99.35333333333334,11.113333333333335,131.04036263811227,12.432459697874291,131.08302229583717,12.474424099690731
电气设备,181.5502298850575,15.88551724137931,75.9863040159544,12.810549067651342,125.18175565519293,13.839319289946815
电脑设备,687.9704347826088,22.33869565217391,240.20224800292962,18.83440388644484,363.80263736380107,23.930986933364398
白酒,59.823076923076925,34.145384615384614,27.012875239773418,99.3954665493004,22.28584981274129,127.62910450383661
百货,101.44972222222222,12.386111111111111,66.02165809833178,14.525112988428756,69.79847778777714,13.814796749297773
石油加工,35.516,8.894,12.55113601852406,4.985991502726768,13.468272639265695,5.15758737595264
石油开采,138.89166666666668,9.865,34.605660069744154,9.102880105365744,35.67058623869965,9.105837680927126
石油贸易,247.246,12.234,100.2364767737632,15.089918704286605,160.25876858767901,14.823946755293633
矿物制品,343.57800000000003,12.632,204.42779866568725,11.928095859798262,198.74291328986658,13.424682834684054
种植业,201.93374999999997,14.18,146.73600864447704,13.941258882988691,96.59811070897037,14.238554830198892
空运,22.186666666666667,22.723333333333333,14.323207346808578,9.115866435337718,15.522761975670571,10.665919178523096
红黄药酒,5497.958333333333,12.973333333333334,489.9261626065583,22.11400529129598,3406.7879834112346,21.302905465647207
纺织,322.0132,10.786399999999999,191.36756626246927,9.054341896007484,242.63215251946207,9.578863652060662
纺织机械,56.495000000000005,18.308333333333334,27.5970212251291,15.484242947562155,44.8566434532986,14.542108340864385
综合类,103.695625,10.38375,108.84457845697344,8.344873411274893,90.43260449745219,9.19239273318071
航空,195.447,30.236,151.42302802889856,34.5011857234132,162.03843666682613,31.918733206042127
船舶,271.81,18.95,479.59596180957794,16.124411264202408,475.68511834476897,15.709720417606967
装修装饰,32.95857142857143,14.588571428571429,23.704086688889532,13.199774311831865,21.47376279455375,13.76352412231753
超市连锁,38.224444444444444,9.738888888888889,31.176704195626247,11.956451733963007,31.190086550787054,11.335557503973746
路桥,40.55166666666666,5.892222222222222,16.408251424650828,5.762258863101581,23.973038689190606,6.1593999906604235
软件服务,331.31139240506326,26.645189873417724,242.0699376252528,23.428018590415437,317.5151749762207,25.646826965757768
软饮料,98.35000000000001,8.673333333333334,59.32181767703742,6.769989494057027,51.3012992508999,8.816790057398581
轻工机械,87.248,14.969999999999999,28.734382869706955,18.91414367779437,49.460369207449105,16.142911072614407
运输设备,57.68363636363636,17.652727272727272,37.524025200194195,13.686005830455256,40.33417002534479,13.773836883935921
通信设备,188.67733333333334,17.56422222222222,85.05737714117629,18.145186446870053,134.14194177580634,17.232965446684467
造纸,159.37666666666667,6.111666666666667,61.417497065233846,5.554366826849417,140.69658568113505,5.825805260944727
酒店餐饮,76.1,13.567999999999998,70.16842065113622,10.845800102286983,81.12933221711705,14.827041507670739
钢加工,321.9428571428571,11.481428571428571,123.82752710800577,7.437625417665402,378.5030548010601,8.952711080382569
铁路,27.37,7.616666666666666,17.074098015595833,8.65316372770496,15.614961316068085,8.93093796997584
铅锌,79.98166666666667,10.415000000000001,77.43336635340768,11.342820563174223,66.48040909330848,10.773801312617671
铜,212.19,12.978,70.01455348730707,12.38565888527682,117.2457629782161,11.946049275676456
铝,142.16133333333335,13.249333333333334,956.6439489120934,6.016310456934625,589.0546371828711,7.264916525160139
陶瓷,33.695,22.27,33.55358964394733,22.052928724782443,31.321731418918915,18.626925675675675
食品,56.94464285714286,17.726071428571426,40.94588032532012,16.832933145618547,41.42801930018594,19.046806353990686
饲料,140.948,13.466,157.0194413530209,12.1112836769674,119.95471249587867,13.341802835476427
黄金,199.20166666666668,10.318333333333333,123.36948076864329,7.489810328789495,138.58197196177937,8.100610454460291
地区,平均市盈率,平均价格,总资产加权市盈率,总资产加权平均价格,流通市值加权市盈率,流通市值加权平均价格
上海,140.09201342281878,17.730939597315434,40.2448497041681,13.345891660918781,89.3765892677779,18.07716966109515
云南,140.5375,21.205625,147.98106826781867,18.433701782925976,70.29727728234212,44.443942684066656
内蒙,57.360769230769236,13.213846153846154,37.909637354578024,9.820732849436233,38.3971356413678,13.898170368308598
北京,193.61989304812835,21.714545454545455,60.74297336606256,9.944570896011596,89.91569569016352,13.271511566816526
吉林,165.81538461538463,17.04230769230769,93.30654322800974,12.838673277235507,119.21266871938833,18.463699693080216
四川,227.75803030303032,20.206969696969697,93.52453809924124,12.63403492424718,138.62747579775012,16.431334795292422
天津,95.9225,13.679642857142856,64.47713111951332,13.12921215825392,68.4306435088953,15.870189109160043
宁夏,6619.164,10.55,581.0882703101914,10.505306863884787,8275.464841980513,11.908731893600212
安徽,74.70166666666667,13.706296296296296,37.69451743362112,13.182581294161093,48.454497932392144,15.152813257228265
山东,180.76657894736843,14.911842105263158,130.3086008383907,10.845850651921559,144.79635679458326,15.164030795549891
山西,366.6518181818182,12.47181818181818,155.8886509550876,6.941385742210269,240.48293905919599,9.296312700045064
广东,152.84593333333333,17.1536,29.895743150886844,12.534784004731472,75.04397926183599,14.772748881438675
广西,301.37649999999996,16.452,74.27566268923295,11.407796332687766,171.25366837613728,15.6351643812153
新疆,77.98428571428572,11.180952380952382,35.95327508748022,9.753349237724997,44.60923388693724,10.377460537076376
江苏,108.6262162162162,16.698162162162163,139.90605176306784,14.639142979077073,116.52073985168535,19.420696260300982
江西,80.19869565217392,17.18913043478261,62.618064676204995,13.752073749691538,84.13168024145453,18.963560550381338
河北,139.54432432432432,14.855675675675675,135.74385279520823,11.924748292496579,111.60888188500509,15.37770197654753
河南,287.815625,15.9275,116.96519127402657,12.667649150954691,161.76539949700793,16.795392715475522
浙江,109.96178743961353,16.51169082125604,70.56109541372165,12.654831236127492,81.58704524930276,16.912561119390872
海南,344.34666666666664,9.040833333333333,140.34473053561624,5.820123492598011,157.0430975227144,7.9773822473144795
深圳,161.57215384615384,18.28330769230769,43.04623734669972,16.48472814680205,79.94315890935248,17.082925135093383
湖北,143.5567857142857,15.004464285714286,74.52516736790845,11.199301123228224,72.51626985883973,14.989247688586023
湖南,127.885625,15.091041666666667,81.915688617943,14.083046062009512,86.07586991305755,15.226616351650424
甘肃,81.46142857142857,10.406428571428572,87.92348282736457,9.045769252059525,99.02771883461145,9.286070623713096
福建,148.5135593220339,15.966779661016949,58.61581437074824,12.143148445206458,88.58294533899682,14.202432691457735
西藏,91.74374999999999,16.35375,78.43047057158002,12.119334128909259,68.15358108108107,14.757472320009082
贵州,152.519375,28.29875,93.49072450200543,90.86650222122775,65.99787071222964,138.4834555834588
辽宁,90.6841463414634,14.256585365853658,57.36785370296229,8.042790228851274,67.86995925009039,12.772551139050373
重庆,45.0708,14.088,25.63351353310314,10.526303305433084,27.703091859525276,11.940038978243921
陕西,469.62304347826085,14.471739130434784,295.96415380893114,18.007320340204572,436.803220531215,18.829857352961525
青海,697.6349999999999,16.55666666666667,92.37355485030312,15.611068754979502,321.7293950639711,15.549515739755531
黑龙江,52.47315789473684,17.92,31.695680600248718,15.800187001830693,39.305871714155025,15.87627007829526
